cossairt_ref_id,first_author,year,journal,title,doi,PL_nm,QY_pct,FWHM_nm,system_description,synthesis_condition_note,cossairt_table_or_figure,value_source_note,matched_to_L_series,matched_paper_id,matching_confidence,mismatch_reason
COS-057,NR,NR,NR,NR,10.1039/c1jm13982g,610,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium acetate; P:phosphine gas; T=200-260C; t=5-20min,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=6; emission_nm=610; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-058,Ramasamy P. et al.,2016,Nanoscale,Beneficial Effects of Water in InP/ZnS Synthesis,10.1039/c6nr04713k,NR,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium chloride; P:tris(dimethylamino)phosphine; T=180C; t=1-15min; d=1.8-2.6nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=6; emission_nm=NR; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,yes,L033,exact,
COS-059,NR,NR,NR,NR,10.1039/c6tc02910h,522-591 (n=4),NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium chloride; P:tris(trimethylsilyl)phosphine; T=230C; t=10-40min,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=4; emission_nm=522-591 (n=4); QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-060,NR,NR,NR,NR,10.1039/c8nr01286e,470-607 (n=12),NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium chloride; P:tris(diethylamino)phosphine; T=150-180C; t=30min,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=12; emission_nm=470-607 (n=12); QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-061,NR,NR,NR,NR,10.1039/c9nr06847c,477,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium acetate; P:tris(trimethylsilyl)phosphine; T=240C; t=60min; d=2.0nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=1; emission_nm=477; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-062,NR,NR,NR,NR,10.1063/1.4745844,590,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium acetate; P:tris(trimethylsilyl)phosphine; T=200C; t=30min; d=2.1nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=1; emission_nm=590; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-063,NR,NR,NR,NR,10.1080/15980316.2012.683537,481,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium myristate; P:tris(trimethylsilyl) phosphine; T=300C; t=30min; d=2.3nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=1; emission_nm=481; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-064,NR,NR,NR,NR,10.1088/0957-4484/23/48/485609/meta,NR,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium chloride/indium acetate; P:tris(trimethylsilyl)phosphine; T=130-170C; t=1-30min,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=8; emission_nm=NR; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-065,NR,NR,NR,NR,10.1109/cleo.2006.4628249,630,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium acetate; P:tris(trimethylsilyl)phosphine; T=270C; t=180min; d=4.0nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=1; emission_nm=630; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-066,NR,NR,NR,NR,10.1134/s0036023618040071,NR,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium acetate; P:phosphine gas; T=230C; t=15min; d=4.5nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=1; emission_nm=NR; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-067,NR,NR,NR,NR,10.1364/ome.4.001436,539,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium acetate; P:tris(trimethylsilyl)phosphine; T=300C; t=30min,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=1; emission_nm=539; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-068,NR,NR,NR,NR,10.1557/jmr.2006.0068,590,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium trifluoroacetate; P:tris(trimethylsilyl)phosphine; T=270C; t=6-240min; d=8.3nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=4; emission_nm=590; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-069,NR,NR,NR,NR,10.3389/fchem.2018.00567,568-680 (n=3),NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium acetate; P:tris(trimethylsilyl)phosphine; T=178C; t=4-840min; d=1.5-6.7nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=3; emission_nm=568-680 (n=3); QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-070,NR,NR,NR,NR,10.3389/fnins.2021.652608,645,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium chloride; P:tris(trimethylsilyl)phosphine; T=230C; t=20min; d=3.2nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=1; emission_nm=645; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-071,NR,NR,NR,NR,10.3390/ma12142267,530,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium iodide; P:tris(dimethylamino)phosphine; T=180C; t=2min,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=1; emission_nm=530; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-072,NR,NR,NR,NR,10.3762/bjnano.5.135,NR,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium acetate; P:phosphine gas; T=260C; t=15min; d=4.5nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=1; emission_nm=NR; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-073,NR,NR,NR,NR,nayon,653,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium chloride; P:tris(trimethylsilyl)phosphine; T=270C; t=1140min; d=5.0nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=1; emission_nm=653; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
